符号栈                                                                                                                                                             使用产生式                                                                                                                                                 读入符号                符号栈                                                                                                                                                                                                                                   
# } <statement_list*> } <statement_list*> ; <arithmetic_expression*>                                                                                            <term*>->#                                                                                                                                            ;                   b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                
# } <statement_list*> } <statement_list*> ;                                                                                                                     <arithmetic_expression*>->#                                                                                                                           ;                   b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                
# } <statement_list*> } <statement_list*>                                                                                                                       null                                                                                                                                                  ID                  = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                  
# } <statement_list*> }                                                                                                                                         <statement_list*>-><statement><statement_list*>                                                                                                       ID                  = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                  
# } <statement_list*> } <statement_list*>                                                                                                                       <statement>-><assignment_stat>                                                                                                                        ID                  = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                  
# } <statement_list*> } <statement_list*>                                                                                                                       <assignment_stat>-><assignment_expression>;                                                                                                           ID                  = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                  
# } <statement_list*> } <statement_list*> ;                                                                                                                     <assignment_expression>->ID=<arithmetic_expression>                                                                                                   ID                  = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                  
# } <statement_list*> } <statement_list*> ; <arithmetic_expression> =                                                                                           null                                                                                                                                                  =                   b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                    
# } <statement_list*> } <statement_list*> ; <arithmetic_expression>                                                                                             null                                                                                                                                                  ID                  * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                      
# } <statement_list*> } <statement_list*> ;                                                                                                                     <arithmetic_expression>-><term><arithmetic_expression*>                                                                                               ID                  * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                      
# } <statement_list*> } <statement_list*> ; <arithmetic_expression*>                                                                                            <term>-><factor><term*>                                                                                                                               ID                  * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                      
# } <statement_list*> } <statement_list*> ; <arithmetic_expression*> <term*>                                                                                    <factor>->ID                                                                                                                                          ID                  * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                      
# } <statement_list*> } <statement_list*> ; <arithmetic_expression*> <term*>                                                                                    null                                                                                                                                                  *                   i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                        
# } <statement_list*> } <statement_list*> ; <arithmetic_expression*>                                                                                            <term*>->*<factor><term>                                                                                                                              *                   i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                        
# } <statement_list*> } <statement_list*> ; <arithmetic_expression*> <term> <factor>                                                                            null                                                                                                                                                  ID                  ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                          
# } <statement_list*> } <statement_list*> ; <arithmetic_expression*> <term>                                                                                     <factor>->ID                                                                                                                                          ID                  ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                          
# } <statement_list*> } <statement_list*> ; <arithmetic_expression*> <term>                                                                                     null                                                                                                                                                  ;                   { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                            
# } <statement_list*> } <statement_list*> ; <arithmetic_expression*>                                                                                            <term>->#                                                                                                                                             ;                   { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                            
# } <statement_list*> } <statement_list*> ;                                                                                                                     <arithmetic_expression*>->#                                                                                                                           ;                   { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                            
# } <statement_list*> } <statement_list*>                                                                                                                       null                                                                                                                                                  {                   c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                              
# } <statement_list*> }                                                                                                                                         <statement_list*>-><statement><statement_list*>                                                                                                       {                   c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                              
# } <statement_list*> } <statement_list*>                                                                                                                       <statement>-><compound_stat>                                                                                                                          {                   c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                              
# } <statement_list*> } <statement_list*>                                                                                                                       <compound_stat>->{<statement_list>}                                                                                                                   {                   c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                              
# } <statement_list*> } <statement_list*> } <statement_list>                                                                                                    null                                                                                                                                                  ID                  = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                
# } <statement_list*> } <statement_list*> }                                                                                                                     <statement_list>-><statement_list*>                                                                                                                   ID                  = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                
# } <statement_list*> } <statement_list*> }                                                                                                                     <statement_list*>-><statement><statement_list*>                                                                                                       ID                  = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                
# } <statement_list*> } <statement_list*> } <statement_list*>                                                                                                   <statement>-><assignment_stat>                                                                                                                        ID                  = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                
# } <statement_list*> } <statement_list*> } <statement_list*>                                                                                                   <assignment_stat>-><assignment_expression>;                                                                                                           ID                  = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                
# } <statement_list*> } <statement_list*> } <statement_list*> ;                                                                                                 <assignment_expression>->ID=<arithmetic_expression>                                                                                                   ID                  = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                
# } <statement_list*> } <statement_list*> } <statement_list*> ; <arithmetic_expression> =                                                                       null                                                                                                                                                  =                   a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                  
# } <statement_list*> } <statement_list*> } <statement_list*> ; <arithmetic_expression>                                                                         null                                                                                                                                                  ID                  + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                    
# } <statement_list*> } <statement_list*> } <statement_list*> ;                                                                                                 <arithmetic_expression>-><term><arithmetic_expression*>                                                                                               ID                  + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                    
# } <statement_list*> } <statement_list*> } <statement_list*> ; <arithmetic_expression*>                                                                        <term>-><factor><term*>                                                                                                                               ID                  + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                    
# } <statement_list*> } <statement_list*> } <statement_list*> ; <arithmetic_expression*> <term*>                                                                <factor>->ID                                                                                                                                          ID                  + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                    
# } <statement_list*> } <statement_list*> } <statement_list*> ; <arithmetic_expression*> <term*>                                                                null                                                                                                                                                  +                   b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                      
# } <statement_list*> } <statement_list*> } <statement_list*> ; <arithmetic_expression*>                                                                        <term*>->+<factor><term*>                                                                                                                             +                   b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                      
# } <statement_list*> } <statement_list*> } <statement_list*> ; <arithmetic_expression*> <term*> <factor>                                                       null                                                                                                                                                  ID                  ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                        
# } <statement_list*> } <statement_list*> } <statement_list*> ; <arithmetic_expression*> <term*>                                                                <factor>->ID                                                                                                                                          ID                  ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                        
# } <statement_list*> } <statement_list*> } <statement_list*> ; <arithmetic_expression*> <term*>                                                                null                                                                                                                                                  ;                   } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                          
# } <statement_list*> } <statement_list*> } <statement_list*> ; <arithmetic_expression*>                                                                        <term*>->#                                                                                                                                            ;                   } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                          
# } <statement_list*> } <statement_list*> } <statement_list*> ;                                                                                                 <arithmetic_expression*>->#                                                                                                                           ;                   } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                          
# } <statement_list*> } <statement_list*> } <statement_list*>                                                                                                   null                                                                                                                                                  }                   while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                            
# } <statement_list*> } <statement_list*> }                                                                                                                     <statement_list*>->#                                                                                                                                  }                   while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                            
# } <statement_list*> } <statement_list*>                                                                                                                       null                                                                                                                                                  while               ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                  
# } <statement_list*> }                                                                                                                                         <statement_list*>-><statement><statement_list*>                                                                                                       while               ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                  
# } <statement_list*> } <statement_list*>                                                                                                                       <statement>-><while_stat>                                                                                                                             while               ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                  
# } <statement_list*> } <statement_list*>                                                                                                                       <while_stat>->while(<bool_expression>)<statement>                                                                                                     while               ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                  
# } <statement_list*> } <statement_list*> <statement> ) <bool_expression> (                                                                                     null                                                                                                                                                  (                   x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                    
# } <statement_list*> } <statement_list*> <statement> ) <bool_expression>                                                                                       null                                                                                                                                                  ID                  <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                      
# } <statement_list*> } <statement_list*> <statement> )                                                                                                         <bool_expression>-><arithmetic_expression><bool_expression^>                                                                                          ID                  <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                      
# } <statement_list*> } <statement_list*> <statement> ) <bool_expression^>                                                                                      <arithmetic_expression>-><term><arithmetic_expression*>                                                                                               ID                  <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                      
# } <statement_list*> } <statement_list*> <statement> ) <bool_expression^> <arithmetic_expression*>                                                             <term>-><factor><term*>                                                                                                                               ID                  <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                      
# } <statement_list*> } <statement_list*> <statement> ) <bool_expression^> <arithmetic_expression*> <term*>                                                     <factor>->ID                                                                                                                                          ID                  <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                      
# } <statement_list*> } <statement_list*> <statement> ) <bool_expression^> <arithmetic_expression*> <term*>                                                     null                                                                                                                                                  <=                  10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                         
# } <statement_list*> } <statement_list*> <statement> ) <bool_expression^> <arithmetic_expression*>                                                             <term*>->#                                                                                                                                            <=                  10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                         
# } <statement_list*> } <statement_list*> <statement> ) <bool_expression^>                                                                                      <arithmetic_expression*>->#                                                                                                                           <=                  10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                         
# } <statement_list*> } <statement_list*> <statement> )                                                                                                         <bool_expression^>-><=<arithmetic_expression>                                                                                                         <=                  10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                         
# } <statement_list*> } <statement_list*> <statement> ) <arithmetic_expression>                                                                                 null                                                                                                                                                  NUM                 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                            
# } <statement_list*> } <statement_list*> <statement> )                                                                                                         <arithmetic_expression>-><term><arithmetic_expression*>                                                                                               NUM                 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                            
# } <statement_list*> } <statement_list*> <statement> ) <arithmetic_expression*>                                                                                <term>-><factor><term*>                                                                                                                               NUM                 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                            
# } <statement_list*> } <statement_list*> <statement> ) <arithmetic_expression*> <term*>                                                                        <factor>->NUM                                                                                                                                         NUM                 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                            
# } <statement_list*> } <statement_list*> <statement> ) <arithmetic_expression*> <term*>                                                                        null                                                                                                                                                  )                   { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                              
# } <statement_list*> } <statement_list*> <statement> ) <arithmetic_expression*>                                                                                <term*>->#                                                                                                                                            )                   { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                              
# } <statement_list*> } <statement_list*> <statement> )                                                                                                         <arithmetic_expression*>->#                                                                                                                           )                   { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                              
# } <statement_list*> } <statement_list*> <statement>                                                                                                           null                                                                                                                                                  {                   C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                                
# } <statement_list*> } <statement_list*>                                                                                                                       <statement>-><compound_stat>                                                                                                                          {                   C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                                
# } <statement_list*> } <statement_list*>                                                                                                                       <compound_stat>->{<statement_list>}                                                                                                                   {                   C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                                
# } <statement_list*> } <statement_list*> } <statement_list>                                                                                                    null                                                                                                                                                  ID                  = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                                  
# } <statement_list*> } <statement_list*> }                                                                                                                     <statement_list>-><statement_list*>                                                                                                                   ID                  = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                                  
# } <statement_list*> } <statement_list*> }                                                                                                                     <statement_list*>-><statement><statement_list*>                                                                                                       ID                  = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                                  
# } <statement_list*> } <statement_list*> } <statement_list*>                                                                                                   <statement>-><assignment_stat>                                                                                                                        ID                  = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                                  
# } <statement_list*> } <statement_list*> } <statement_list*>                                                                                                   <assignment_stat>-><assignment_expression>;                                                                                                           ID                  = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                                  
# } <statement_list*> } <statement_list*> } <statement_list*> ;                                                                                                 <assignment_expression>->ID=<arithmetic_expression>                                                                                                   ID                  = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                                  
# } <statement_list*> } <statement_list*> } <statement_list*> ; <arithmetic_expression> =                                                                       null                                                                                                                                                  =                   a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                                    
# } <statement_list*> } <statement_list*> } <statement_list*> ; <arithmetic_expression>                                                                         null                                                                                                                                                  ID                  + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                                      
# } <statement_list*> } <statement_list*> } <statement_list*> ;                                                                                                 <arithmetic_expression>-><term><arithmetic_expression*>                                                                                               ID                  + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                                      
# } <statement_list*> } <statement_list*> } <statement_list*> ; <arithmetic_expression*>                                                                        <term>-><factor><term*>                                                                                                                               ID                  + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                                      
# } <statement_list*> } <statement_list*> } <statement_list*> ; <arithmetic_expression*> <term*>                                                                <factor>->ID                                                                                                                                          ID                  + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                                      
# } <statement_list*> } <statement_list*> } <statement_list*> ; <arithmetic_expression*> <term*>                                                                null                                                                                                                                                  +                   b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                                        
# } <statement_list*> } <statement_list*> } <statement_list*> ; <arithmetic_expression*>                                                                        <term*>->+<factor><term*>                                                                                                                             +                   b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                                        
# } <statement_list*> } <statement_list*> } <statement_list*> ; <arithmetic_expression*> <term*> <factor>                                                       null                                                                                                                                                  ID                  + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                                          
# } <statement_list*> } <statement_list*> } <statement_list*> ; <arithmetic_expression*> <term*>                                                                <factor>->ID                                                                                                                                          ID                  + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                                          
# } <statement_list*> } <statement_list*> } <statement_list*> ; <arithmetic_expression*> <term*>                                                                null                                                                                                                                                  +                   ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                                            
# } <statement_list*> } <statement_list*> } <statement_list*> ; <arithmetic_expression*>                                                                        <term*>->+<factor><term*>                                                                                                                             +                   ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                                            
# } <statement_list*> } <statement_list*> } <statement_list*> ; <arithmetic_expression*> <term*> <factor>                                                       null                                                                                                                                                  (                   x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                                              
# } <statement_list*> } <statement_list*> } <statement_list*> ; <arithmetic_expression*> <term*>                                                                <factor>->(<arithmetic_expression>)                                                                                                                   (                   x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                                              
# } <statement_list*> } <statement_list*> } <statement_list*> ; <arithmetic_expression*> <term*> ) <arithmetic_expression>                                      null                                                                                                                                                  ID                  * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                                                
# } <statement_list*> } <statement_list*> } <statement_list*> ; <arithmetic_expression*> <term*> )                                                              <arithmetic_expression>-><term><arithmetic_expression*>                                                                                               ID                  * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                                                
# } <statement_list*> } <statement_list*> } <statement_list*> ; <arithmetic_expression*> <term*> ) <arithmetic_expression*>                                     <term>-><factor><term*>                                                                                                                               ID                  * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                                                
# } <statement_list*> } <statement_list*> } <statement_list*> ; <arithmetic_expression*> <term*> ) <arithmetic_expression*> <term*>                             <factor>->ID                                                                                                                                          ID                  * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                                                
# } <statement_list*> } <statement_list*> } <statement_list*> ; <arithmetic_expression*> <term*> ) <arithmetic_expression*> <term*>                             null                                                                                                                                                  *                   y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                                                  
# } <statement_list*> } <statement_list*> } <statement_list*> ; <arithmetic_expression*> <term*> ) <arithmetic_expression*>                                     <term*>->*<factor><term>                                                                                                                              *                   y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                                                  
# } <statement_list*> } <statement_list*> } <statement_list*> ; <arithmetic_expression*> <term*> ) <arithmetic_expression*> <term> <factor>                     null                                                                                                                                                  ID                  ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                                                    
# } <statement_list*> } <statement_list*> } <statement_list*> ; <arithmetic_expression*> <term*> ) <arithmetic_expression*> <term>                              <factor>->ID                                                                                                                                          ID                  ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                                                    
# } <statement_list*> } <statement_list*> } <statement_list*> ; <arithmetic_expression*> <term*> ) <arithmetic_expression*> <term>                              null                                                                                                                                                  )                   ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                                                      
# } <statement_list*> } <statement_list*> } <statement_list*> ; <arithmetic_expression*> <term*> ) <arithmetic_expression*>                                     <term>->#                                                                                                                                             )                   ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                                                      
# } <statement_list*> } <statement_list*> } <statement_list*> ; <arithmetic_expression*> <term*> )                                                              <arithmetic_expression*>->#                                                                                                                           )                   ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                                                      
# } <statement_list*> } <statement_list*> } <statement_list*> ; <arithmetic_expression*> <term*>                                                                null                                                                                                                                                  ;                   if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                                                        
# } <statement_list*> } <statement_list*> } <statement_list*> ; <arithmetic_expression*>                                                                        <term*>->#                                                                                                                                            ;                   if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                                                        
# } <statement_list*> } <statement_list*> } <statement_list*> ;                                                                                                 <arithmetic_expression*>->#                                                                                                                           ;                   if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                                                        
# } <statement_list*> } <statement_list*> } <statement_list*>                                                                                                   null                                                                                                                                                  if                  ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                                                           
# } <statement_list*> } <statement_list*> }                                                                                                                     <statement_list*>-><statement><statement_list*>                                                                                                       if                  ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                                                           
# } <statement_list*> } <statement_list*> } <statement_list*>                                                                                                   <statement>-><if_stat>                                                                                                                                if                  ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                                                           
# } <statement_list*> } <statement_list*> } <statement_list*>                                                                                                   <if_stat>->if(<bool_expression>)<statement><if_stat^>                                                                                                 if                  ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                                                           
# } <statement_list*> } <statement_list*> } <statement_list*> <if_stat^> <statement> ) <bool_expression> (                                                      null                                                                                                                                                  (                   a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                                                             
# } <statement_list*> } <statement_list*> } <statement_list*> <if_stat^> <statement> ) <bool_expression>                                                        null                                                                                                                                                  ID                  > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                                                               
# } <statement_list*> } <statement_list*> } <statement_list*> <if_stat^> <statement> )                                                                          <bool_expression>-><arithmetic_expression><bool_expression^>                                                                                          ID                  > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                                                               
# } <statement_list*> } <statement_list*> } <statement_list*> <if_stat^> <statement> ) <bool_expression^>                                                       <arithmetic_expression>-><term><arithmetic_expression*>                                                                                               ID                  > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                                                               
# } <statement_list*> } <statement_list*> } <statement_list*> <if_stat^> <statement> ) <bool_expression^> <arithmetic_expression*>                              <term>-><factor><term*>                                                                                                                               ID                  > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                                                               
# } <statement_list*> } <statement_list*> } <statement_list*> <if_stat^> <statement> ) <bool_expression^> <arithmetic_expression*> <term*>                      <factor>->ID                                                                                                                                          ID                  > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                                                               
# } <statement_list*> } <statement_list*> } <statement_list*> <if_stat^> <statement> ) <bool_expression^> <arithmetic_expression*> <term*>                      null                                                                                                                                                  >                   b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                                                                 
# } <statement_list*> } <statement_list*> } <statement_list*> <if_stat^> <statement> ) <bool_expression^> <arithmetic_expression*>                              <term*>->#                                                                                                                                            >                   b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                                                                 
# } <statement_list*> } <statement_list*> } <statement_list*> <if_stat^> <statement> ) <bool_expression^>                                                       <arithmetic_expression*>->#                                                                                                                           >                   b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                                                                 
# } <statement_list*> } <statement_list*> } <statement_list*> <if_stat^> <statement> )                                                                          <bool_expression^>->><arithmetic_expression>                                                                                                          >                   b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                                                                 
